key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
GODS_LAST_WISH_WAS_FOR_HUMANS_TO_HAVE_FREE_WILL,gods last wish was for humans to have free will,,,,,,,,,,
GRAND_UNIFIED_CONSPIRACY_THEORY,grand unified conspiracy theory,,,,,,,,,,
GREY_GOO,grey goo,,,,,,,,,,
HERMETICISM,hermeticism,,,,,,,,,,
HIMALAYAN_ZOMBIES_ROLANG,himalayan zombies (rolang),,,,,,,,,,
HOLOTROPIC_BREATHWORKS,holotropic breathworks,,,,,,,,,,
HUMANITY_SHARES_A_FLOOD_MYTH,humanity shares a flood myth,,,,,,,,,,
HUMAN_GENOME_PROJECTS_TRUE_PURPOSE,human genome projects true purpose,,,,,,,,,,
HYPERSIGILS,hypersigils,,,,,,,,,,
INTERDIMENSIONAL_BIGFOOT,interdimensional bigfoot,,,,,,,,,,
KALI_YUGA,kali yuga,,,,,,,,,,
KUNDALINI_ENERGY,kundalini energy,,,,,,,,,,
LAST_THURSDAYISM,last thursdayism,,,,,,,,,,
LEMURIA_AND_MOUNT_SHASTA,lemuria and mount shasta,,,,,,,,,,
LORD_PAKALS_TIME_MACHINE,lord pakal's time machine,,,,,,,,,,
LUCID_DREAMING,lucid dreaming,,,,,,,,,,
MAJESTIC_TWELVE,majestic twelve,,,,,,,,,,
MANDELA_EFFECT,mandela effect,,,,,,,,,,
MICROCHIPS_FOUND_IN_FOSSILS,microchips found in fossils,,,,,,,,,,
MIRL_CULTS,mirl cults,,,,,,,,,,
MK_ULTRA,mk ultra,,,,,,,,,,
MONTANISM,montanism,,,,,,,,,,
MORPHIC_FIELD,morphic field,,,,,,,,,,
NANOUFOS_AND_GIGAUFOS,nano-ufos and giga-ufos,,,,,,,,,,
NEGATIVEENTROPY,negative-entropy,,,,,,,,,,
NEPHILIM,nephilim,,,,,,,,,,
NEW_WORLD_ORDER,new world order,,,,,,,,,,
NEXUS_7,nexus 7,,,,,,,,,,
NIBIRU,nibiru,,,,,,,,,,
NIMROD_CONTROL_SYSTEM,Nimrod control system,,,,,,,,,,
NONSPACE,non-space,,,,,,,,,,
OBJECT_ORIENTED_ONTOLOGY,object oriented ontology,,,,,,,,,,
OCCULT_KNOWLEDGE,occult knowledge,,,,,,,,,,
OIKEIOSIS,oikeiosis,,,,,,,,,,
OPERATION_BLUE_BEAM,operation blue beam,,,,,,,,,,
OPERATION_PAPER_CLIP,operation paper clip,,,,,,,,,,
ORBS,orbs,,,,,,,,,,
OUMUAMUA,oumuamua,,,,,,,,,,
PANOPTICON,panopticon,,,,,,,,,,
PANSPERMIA,panspermia,,,,,,,,,,
PANTHEISM,pantheism,,,,,,,,,,
PESTICIDES_AND_THE_AMERICAN_FOOD_SUPPLY,pesticides and the american food supply,,,,,,,,,,
PHILOSOPHERS_STONE,philosopher's stone,,,,,,,,,,
PHLOGISTON_THEORY_RESURFACING,phlogiston theory resurfacing,,,,,,,,,,
PINEAL_GLAND,pineal gland,,,,,,,,,,
PLANT_INTELLIGENCE,plant intelligence,,,,,,,,,,
PLEROMA,pleroma,,,,,,,,,,
POLAR_SHIFT,polar shift,,,,,,,,,,
POLYWATER,polywater,,,,,,,,,,
PRANA_RELEASE,prana release,,,,,,,,,,
PRESENTISM,presentism,,,,,,,,,,
PRISON_PLANET,prison planet,,,,,,,,,,
PSEUDOSCIENCES,pseudosciences,,,,,,,,,,
PSYCHOTROPIC_WARFARE,psychotropic warfare,,,,,,,,,,
PSYOPS,psyops,,,,,,,,,,
QUANTUM_ENTANGLEMENT,quantum entanglement,,,,,,,,,,
QUANTUM_SUICIDE_AND_IMMORTALITY,quantum suicide and immortality,,,,,,,,,,
REACTIONLESS_DRIVE,reactionless drive,,,,,,,,,,
REGENERATIVE_DEATH_CONSUMPTION,regenerative death consumption,,,,,,,,,,
RETROCAUSALITY,retrocausality,,,,,,,,,,
SACRED_GEOMETRY,sacred geometry,,,,,,,,,,
SATURNS_RINGS,saturn's rings,,,,,,,,,,
SECRET_HUMAN_POTENTIAL,secret human potential,,,,,,,,,,
SECRET_SOCIETIES_TODAY,secret societies today,,,,,,,,,,
SINGULARITY,singularity,,,,,,,,,,
SMITHSONIAN_SUPPRESSES_EVIDENCE_OF_GIANTS,smithsonian suppresses evidence of giants,,,,,,,,,,
SPACE_IS_FAKE,space is fake,,,,,,,,,,
SPIRITUAL_MICROECONOMY,spiritual microeconomy,,,,,,,,,,
SUBJECTIVE_REALITY,subjective reality,,,,,,,,,,
SYCAMORE_KNOLL_UNDERWATER_ALIEN_BASE,sycamore knoll underwater alien base,,,,,,,,,,
SYMBIOGENESIS,symbiogenesis,,,,,,,,,,
SYNCHRONICITY,synchronicity,,,,,,,,,,
S_EN,S EN,,,,,,,,,,
TARTARIA,tartaria,,,,,,,,,,
THERE_IS_NO_CONSPIRACY,There is no conspiracy,,,,,,,,,,
THE_FINAL_UNDERSTANDING,The final understanding,,,,,,,,,,
THE_NEPHELIM_LOOKED_LIKE_CLOWNS,the nephelim looked like clowns,,,,,,,,,,
THE_TRUE_PURPOSE_OF_THE_GREAT_PYRAMIND,The true purpose of the great pyramind,,,,,,,,,,
THE_UNIVERSE_IS_A_HOLOGRAM,The universe is a hologram,,,,,,,,,,
THOTH_WAS_AN_ALCHEMIST_AND_A_HIGH_PREIST_IN_ANCIENT_ATLANTIS,thoth was an alchemist and a high preist in ancient atlantis,,,,,,,,,,
THULE,thule,,,,,,,,,,
TIMECUBE,timecube,,,,,,,,,,
TITANIC_WAS_SUNK_TO_CREATE_THE_FEDERAL_RESERVE,titanic was sunk to create the federal reserve,,,,,,,,,,
TORSION_FIELDS,torsion fields,,,,,,,,,,
TOXOPLASMOSIS_EFFECT_ON_THE_HUMAN_BRAIN,toxoplasmosis effect on the human brain,,,,,,,,,,
TULPAS,tulpas,,,,,,,,,,
VAMPIRES,vampires,,,,,,,,,,
VIMANA,vimana,,,,,,,,,,
WARS_ARE_STARTED_ON_PURPOSE_FOR_THE_SAKE_OF_PROFIT,wars are started on purpose for the sake of profit,,,,,,,,,,
WETIKO,wetiko,,,,,,,,,,
