key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
GLOBAL_DEPOPULATION_DESCRIPTION,A sinister plan to reduce population?,,,,,,,,,,
GODS_EGO_DEATH_DESCRIPTION,Did divinity surrender itself?,,,,,,,,,,
GODS_LAST_WISH_WAS_FOR_HUMANS_TO_HAVE_FREE_WILL_DESCRIPTION,A divine gift or a risky gamble?,,,,,,,,,,
GRAND_UNIFIED_CONSPIRACY_THEORY_DESCRIPTION,Everything connected in a web of deceit?,,,,,,,,,,
GREY_GOO_DESCRIPTION,Nanotechnology gone rogue?,,,,,,,,,,
HERMETICISM_DESCRIPTION,Ancient wisdom or modern mysticism?,,,,,,,,,,
HIMALAYAN_ZOMBIES_ROLANG_DESCRIPTION,Beware the rolang,,,,,,,,,,
HOLOTROPIC_BREATHWORKS_DESCRIPTION,Unlocking the mind or opening Pandora's box?,,,,,,,,,,
HUMANITY_SHARES_A_FLOOD_MYTH_DESCRIPTION,A universal warning or shared history?,,,,,,,,,,
HUMAN_GENOME_PROJECTS_TRUE_PURPOSE_DESCRIPTION,Mapping genes or controlling humanity?,,,,,,,,,,
HYPERSIGILS_DESCRIPTION, Art as magic?,,,,,,,,,,
INTERDIMENSIONAL_BIGFOOT_DESCRIPTION,Not just a forest dweller?,,,,,,,,,,
KALI_YUGA_DESCRIPTION,Are we doomed to repeat history?,,,,,,,,,,
KUNDALINI_ENERGY_DESCRIPTION,Awaken the serpent or unleash chaos?,,,,,,,,,,
LAST_THURSDAYISM_DESCRIPTION,Was the world created last Thursday?,,,,,,,,,,
LEMURIA_AND_MOUNT_SHASTA_DESCRIPTION,A lost continent beneath a sacred mountain?,,,,,,,,,,
LORD_PAKALS_TIME_MACHINE_DESCRIPTION,Ancient astronaut or just a royal tomb?,,,,,,,,,,
LUCID_DREAMING_DESCRIPTION,"Control your dreams, lest they control you.",,,,,,,,,,
MAJESTIC_TWELVE_DESCRIPTION,The secret committee behind UFO cover-ups.,,,,,,,,,,
MANDELA_EFFECT_DESCRIPTION,Reality seems to shift - or does it?,,,,,,,,,,
MICROCHIPS_FOUND_IN_FOSSILS_DESCRIPTION,Were ancient creatures already tech-savvy?,,,,,,,,,,
MIRL_CULTS_DESCRIPTION,The cult of the future?,,,,,,,,,,
MK_ULTRA_DESCRIPTION,The CIA's mind control program.,,,,,,,,,,
MONTANISM_DESCRIPTION,A revival of ancient prophecy?,,,,,,,,,,
MORPHIC_FIELD_DESCRIPTION,Are we all connected by an invisible field?,,,,,,,,,,
NANOUFOS_AND_GIGAUFOS_DESCRIPTION,Aliens come in all sizes?,,,,,,,,,,
NEGATIVEENTROPY_DESCRIPTION,Fighting the decay of the universe?,,,,,,,,,,
NEPHILIM_DESCRIPTION,Giants from the past or myth?,,,,,,,,,,
NEW_WORLD_ORDER_DESCRIPTION,A secret elite controlling global events.,,,,,,,,,,
NEXUS_7_DESCRIPTION,A secret meeting place for the elite?,,,,,,,,,,
NIBIRU_DESCRIPTION,The rogue planet that could doom us all.,,,,,,,,,,
NIMROD_CONTROL_SYSTEM_DESCRIPTION,A network to manipulate global behavior?,,,,,,,,,,
NONSPACE_DESCRIPTION, A realm beyond our comprehension?,,,,,,,,,,
OBJECT_ORIENTED_ONTOLOGY_DESCRIPTION,Everything has equal reality?,,,,,,,,,,
OCCULT_KNOWLEDGE_DESCRIPTION,Hidden wisdom or just ancient superstition?,,,,,,,,,,
OIKEIOSIS_DESCRIPTION,Self-realization or universal kinship?,,,,,,,,,,
OPERATION_BLUE_BEAM_DESCRIPTION,A staged alien invasion to control humanity?,,,,,,,,,,
OPERATION_PAPER_CLIP_DESCRIPTION,Nazi scientists in American service?,,,,,,,,,,
ORBS_DESCRIPTION,Mysterious lights that appear to have a will of their own.,,,,,,,,,,
OUMUAMUA_DESCRIPTION,Alien probe or just a strange rock?,,,,,,,,,,
PANOPTICON_DESCRIPTION,The ultimate surveillance state?,,,,,,,,,,
PANSPERMIA_DESCRIPTION,Life from the stars?,,,,,,,,,,
PANTHEISM_DESCRIPTION, Is everything divine or is it just nature?,,,,,,,,,,
PESTICIDES_AND_THE_AMERICAN_FOOD_SUPPLY_DESCRIPTION,Are we eating poison?,,,,,,,,,,
PHILOSOPHERS_STONE_DESCRIPTION,Eternal life or just alchemy's greatest myth?,,,,,,,,,,
PHLOGISTON_THEORY_RESURFACING_DESCRIPTION,Alternative combustion explanations?,,,,,,,,,,
PINEAL_GLAND_DESCRIPTION,The third eye of the mind.,,,,,,,,,,
PLANT_INTELLIGENCE_DESCRIPTION,Do plants have consciousness?,,,,,,,,,,
PLEROMA_DESCRIPTION, A realm of divine fullness?,,,,,,,,,,
POLAR_SHIFT_DESCRIPTION,Could Earth's poles flip in our lifetime?,,,,,,,,,,
POLYWATER_DESCRIPTION,Water with mysterious properties?,,,,,,,,,,
PRANA_RELEASE_DESCRIPTION,Unlocking life energy or just myth?,,,,,,,,,,
PRESENTISM_DESCRIPTION,Is only the present real?,,,,,,,,,,
PRISON_PLANET_DESCRIPTION,Earth as a cosmic jail?,,,,,,,,,,
PSEUDOSCIENCES_DESCRIPTION,Science or just wishful thinking?,,,,,,,,,,
PSYCHOTROPIC_WARFARE_DESCRIPTION,Mind control through chemicals?,,,,,,,,,,
PSYOPS_DESCRIPTION,Mind games on a massive scale.,,,,,,,,,,
QUANTUM_ENTANGLEMENT_DESCRIPTION,Instantaneous cosmic connections?,,,,,,,,,,
QUANTUM_SUICIDE_AND_IMMORTALITY_DESCRIPTION,Live forever through quantum mechanics?,,,,,,,,,,
REACTIONLESS_DRIVE_DESCRIPTION,Impossible propulsion or hidden tech?,,,,,,,,,,
REGENERATIVE_DEATH_CONSUMPTION_DESCRIPTION,Does death fuel rebirth?,,,,,,,,,,
RETROCAUSALITY_DESCRIPTION,Can the future affect the past?,,,,,,,,,,
SACRED_GEOMETRY_DESCRIPTION,The universe in perfect patterns?,,,,,,,,,,
SATURNS_RINGS_DESCRIPTION,Natural or engineered?,,,,,,,,,,
SECRET_HUMAN_POTENTIAL_DESCRIPTION,Unlocking powers we all have?,,,,,,,,,,
SECRET_SOCIETIES_TODAY_DESCRIPTION,Pulling the strings from the shadows?,,,,,,,,,,
SINGULARITY_DESCRIPTION,The moment AI surpasses human intelligence?,,,,,,,,,,
SMITHSONIAN_SUPPRESSES_EVIDENCE_OF_GIANTS_DESCRIPTION,Hiding history in plain sight?,,,,,,,,,,
SPACE_IS_FAKE_DESCRIPTION,Is outer space just a giant hoax?,,,,,,,,,,
SPIRITUAL_MICROECONOMY_DESCRIPTION,Trade in energies or just a new-age scam?,,,,,,,,,,
SUBJECTIVE_REALITY_DESCRIPTION,Is reality just in your head?,,,,,,,,,,
SYCAMORE_KNOLL_UNDERWATER_ALIEN_BASE_DESCRIPTION,Secrets beneath the waves?,,,,,,,,,,
SYMBIOGENESIS_DESCRIPTION,Life from symbiosis or hidden evolution?,,,,,,,,,,
SYNCHRONICITY_DESCRIPTION,Coincidence or cosmic connection?,,,,,,,,,,
S_EN_DESCRIPTION,The code behind reality?,,,,,,,,,,
TARTARIA_DESCRIPTION,A forgotten empire or historical myth?,,,,,,,,,,
THERE_IS_NO_CONSPIRACY_DESCRIPTION,What if it’s all just chaos?,,,,,,,,,,
THE_FINAL_UNDERSTANDING_DESCRIPTION,The ultimate truth revealed?,,,,,,,,,,
THE_NEPHELIM_LOOKED_LIKE_CLOWNS_DESCRIPTION,Ancient giants with a bizarre appearance?,,,,,,,,,,
THE_TRUE_PURPOSE_OF_THE_GREAT_PYRAMIND_DESCRIPTION,More than just a tomb?,,,,,,,,,,
THE_UNIVERSE_IS_A_HOLOGRAM_DESCRIPTION,Is everything just projections?,,,,,,,,,,
THOTH_WAS_AN_ALCHEMIST_AND_A_HIGH_PREIST_IN_ANCIENT_ATLANTIS_DESCRIPTION,Was the god of wisdom actually a high priest?,,,,,,,,,,
THULE_DESCRIPTION,Mythical homeland or mysticism?,,,,,,,,,,
TIMECUBE_DESCRIPTION,Four simultaneous days in one Earth rotation?,,,,,,,,,,
TITANIC_WAS_SUNK_TO_CREATE_THE_FEDERAL_RESERVE_DESCRIPTION,A financial conspiracy at sea?,,,,,,,,,,
TORSION_FIELDS_DESCRIPTION,A new physics or hidden manipulation?,,,,,,,,,,
TOXOPLASMOSIS_EFFECT_ON_THE_HUMAN_BRAIN_DESCRIPTION,Are cat lovers being controlled by parasites?,,,,,,,,,,
TULPAS_DESCRIPTION,Think them into existence?,,,,,,,,,,
VAMPIRES_DESCRIPTION,More than just folklore?,,,,,,,,,,
VIMANA_DESCRIPTION,Ancient flying machines?,,,,,,,,,,
WARS_ARE_STARTED_ON_PURPOSE_FOR_THE_SAKE_OF_PROFIT_DESCRIPTION,Is conflict just good business?,,,,,,,,,,
WETIKO_DESCRIPTION,A psychic virus or cultural metaphor?,,,,,,,,,,
