key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
GLOBAL_DEPOPULATION_ABILITY,,,,,,,,,,,
GODS_EGO_DEATH_ABILITY,,,,,,,,,,,
GODS_LAST_WISH_WAS_FOR_HUMANS_TO_HAVE_FREE_WILL_ABILITY,,,,,,,,,,,
GRAND_UNIFIED_CONSPIRACY_THEORY_ABILITY,Increases number of options during GNOSIS by +%s,,,,,,,,,,
GREY_GOO_ABILITY,,,,,,,,,,,
HERMETICISM_ABILITY,,,,,,,,,,,
HIMALAYAN_ZOMBIES_ROLANG_ABILITY,Put %s MANI_WHEEL into deck.,,,,,,,,,,
HOLOTROPIC_BREATHWORKS_ABILITY,,,,,,,,,,,
HUMANITY_SHARES_A_FLOOD_MYTH_ABILITY,,,,,,,,,,,
HUMAN_GENOME_PROJECTS_TRUE_PURPOSE_ABILITY,Increases insight gain of enemies killed by towers buffed byANCESTRAL_MEMORIES by +%s,,,,,,,,,,
HYPERSIGILS_ABILITY,,,,,,,,,,,
INTERDIMENSIONAL_BIGFOOT_ABILITY,,,,,,,,,,,
KALI_YUGA_ABILITY,,,,,,,,,,,
KUNDALINI_ENERGY_ABILITY,,,,,,,,,,,
LAST_THURSDAYISM_ABILITY,,,,,,,,,,,
LEMURIA_AND_MOUNT_SHASTA_ABILITY,,,,,,,,,,,
LORD_PAKALS_TIME_MACHINE_ABILITY,,,,,,,,,,,
LUCID_DREAMING_ABILITY,"Grants LUCID_DREAM, a CARD that allows you to duplicate a mental construct.",,,,,,,,,,
MAJESTIC_TWELVE_ABILITY,Puts %s UFO CARDS into DECK,,,,,,,,,,
MANDELA_EFFECT_ABILITY,Grants +%s REROLLS during GNOSIS,,,,,,,,,,
MICROCHIPS_FOUND_IN_FOSSILS_ABILITY,,,,,,,,,,,
MIRL_CULTS_ABILITY,,,,,,,,,,,
MK_ULTRA_ABILITY,"Can re-roll rarity of Conspiracies during GNOSIS, +%s times.",,,,,,,,,,
MONTANISM_ABILITY,,,,,,,,,,,
MORPHIC_FIELD_ABILITY,Morphic ressonance causes buffs to all towers of the same type.,,,,,,,,,,
NANOUFOS_AND_GIGAUFOS_ABILITY,,,,,,,,,,,
NEGATIVEENTROPY_ABILITY,,,,,,,,,,,
NEPHILIM_ABILITY,Grants all ANNUNAKI_SUNDIAL constructs +%s psychic damage,,,,,,,,,,
NEW_WORLD_ORDER_ABILITY,Grants +%s ALL SEEING EYE to deck.,,,,,,,,,,
NEXUS_7_ABILITY,,,,,,,,,,,
NIBIRU_ABILITY,Puts %s ANNUNAKI_SUNDIAL into DECK,,,,,,,,,,
NIMROD_CONTROL_SYSTEM_ABILITY,,,,,,,,,,,
NONSPACE_ABILITY,,,,,,,,,,,
OBJECT_ORIENTED_ONTOLOGY_ABILITY,,,,,,,,,,,
OCCULT_KNOWLEDGE_ABILITY,Draw +%s cards from the deck.,,,,,,,,,,
OIKEIOSIS_ABILITY,,,,,,,,,,,
OPERATION_BLUE_BEAM_ABILITY,"Increase the Psychic Damage, of all UFO themed MENTAL_CONSTRUCTs by +%s",,,,,,,,,,
OPERATION_PAPER_CLIP_ABILITY,,,,,,,,,,,
ORBS_ABILITY,"Summons ORB to guard you KUNDALINI, Attacks enemies for %s damage.",,,,,,,,,,
OUMUAMUA_ABILITY,Increases the range of all UFO themed MENTAL_CONSTRUCTs by +%s,,,,,,,,,,
PANOPTICON_ABILITY,,,,,,,,,,,
PANSPERMIA_ABILITY,,,,,,,,,,,
PANTHEISM_ABILITY,,,,,,,,,,,
PESTICIDES_AND_THE_AMERICAN_FOOD_SUPPLY_ABILITY,,,,,,,,,,,
PHILOSOPHERS_STONE_ABILITY,Put %s PHILOSOPHERS_STONE into DECK,,,,,,,,,,
PHLOGISTON_THEORY_RESURFACING_ABILITY,,,,,,,,,,,
PINEAL_GLAND_ABILITY,Gain +%s insight per enemy killed,,,,,,,,,,
PLANT_INTELLIGENCE_ABILITY,,,,,,,,,,,
PLEROMA_ABILITY,,,,,,,,,,,
POLAR_SHIFT_ABILITY,Put %s POLAR_SHIFT into deck.,,,,,,,,,,
POLYWATER_ABILITY,,,,,,,,,,,
PRANA_RELEASE_ABILITY,,,,,,,,,,,
PRESENTISM_ABILITY,,,,,,,,,,,
PRISON_PLANET_ABILITY,,,,,,,,,,,
PSEUDOSCIENCES_ABILITY,"Draw %s random MENTAL_CONSTRUCT, from the deck, into your hand.",,,,,,,,,,
PSYCHOTROPIC_WARFARE_ABILITY,Grants + %s Gnosis Re-rolls,,,,,,,,,,
PSYOPS_ABILITY,Puts %s PSYOP CARDS into DECK,,,,,,,,,,
QUANTUM_ENTANGLEMENT_ABILITY,,,,,,,,,,,
QUANTUM_SUICIDE_AND_IMMORTALITY_ABILITY,"Respawn at half health on Death, TRASH this card on Death.",,,,,,,,,,
REACTIONLESS_DRIVE_ABILITY,,,,,,,,,,,
REGENERATIVE_DEATH_CONSUMPTION_ABILITY,,,,,,,,,,,
RETROCAUSALITY_ABILITY,,,,,,,,,,,
SACRED_GEOMETRY_ABILITY,Puts %s SACRED_GEOMETRY into deck.,,,,,,,,,,
SATURNS_RINGS_ABILITY,Put %s BLACK_CUBE into deck.,,,,,,,,,,
SECRET_HUMAN_POTENTIAL_ABILITY,,,,,,,,,,,
SECRET_SOCIETIES_TODAY_ABILITY,,,,,,,,,,,
SINGULARITY_ABILITY,,,,,,,,,,,
SMITHSONIAN_SUPPRESSES_EVIDENCE_OF_GIANTS_ABILITY,,,,,,,,,,,
SPACE_IS_FAKE_ABILITY,"Increase the speed, of all UFO themed MENTAL_CONSTRUCTs by +%s",,,,,,,,,,
SPIRITUAL_MICROECONOMY_ABILITY,,,,,,,,,,,
SUBJECTIVE_REALITY_ABILITY,Reduce incoming psychic damage by %s.,,,,,,,,,,
SYCAMORE_KNOLL_UNDERWATER_ALIEN_BASE_ABILITY,,,,,,,,,,,
SYMBIOGENESIS_ABILITY,,,,,,,,,,,
SYNCHRONICITY_ABILITY,Increases card draw per inspiration by %s.,,,,,,,,,,
S_EN_ABILITY,,,,,,,,,,,
TARTARIA_ABILITY,Put %s TUNING_FORK into deck.,,,,,,,,,,
THERE_IS_NO_CONSPIRACY_ABILITY,,,,,,,,,,,
THE_FINAL_UNDERSTANDING_ABILITY,,,,,,,,,,,
THE_NEPHELIM_LOOKED_LIKE_CLOWNS_ABILITY,,,,,,,,,,,
THE_TRUE_PURPOSE_OF_THE_GREAT_PYRAMIND_ABILITY,Increases attack speed of all PYRAMIDS by %s,,,,,,,,,,
THE_UNIVERSE_IS_A_HOLOGRAM_ABILITY,,,,,,,,,,,
THOTH_WAS_AN_ALCHEMIST_AND_A_HIGH_PREIST_IN_ANCIENT_ATLANTIS_ABILITY,,,,,,,,,,,
THULE_ABILITY,,,,,,,,,,,
TIMECUBE_ABILITY,,,,,,,,,,,
TITANIC_WAS_SUNK_TO_CREATE_THE_FEDERAL_RESERVE_ABILITY,,,,,,,,,,,
TORSION_FIELDS_ABILITY,,,,,,,,,,,
TOXOPLASMOSIS_EFFECT_ON_THE_HUMAN_BRAIN_ABILITY,,,,,,,,,,,
TULPAS_ABILITY,,,,,,,,,,,
VAMPIRES_ABILITY,"Grants a MENTAL_CONSTRUCT VAMPIRISM, granting that construct +%s exp on hit.",,,,,,,,,,
VIMANA_ABILITY,,,,,,,,,,,
WARS_ARE_STARTED_ON_PURPOSE_FOR_THE_SAKE_OF_PROFIT_ABILITY,,,,,,,,,,,
WETIKO_ABILITY,,,,,,,,,,,
